Name	Symbol	Last	Chg. %	Market Cap	Vol.
HDFC Bank	HDBK	1.65K	0.12%	9.20T	157.28K
ICICI Bank	ICBK	954.6	0.90%	6.67T	113.97K
SBI	SBI	575.05	0.16%	5.13T	1.09M
Housing Development Finance	HDFC	2.71K	-0.13%	5.00T	23.81K
Bajaj Finance	BJFN	6.79K	-0.04%	4.09T	15.63K
Kotak Mahindra Bank	KTKM	1.94K	0.79%	3.86T	34.61K
Axis Bank	AXBK	924.5	1.08%	2.85T	59.28K
IndusInd Bank	INBK	1.25K	0.75%	968.34B	103.07K
Bank of Baroda Ltd	BOB	181.9	0.80%	940.67B	1.00M
Cholamandalam	CHLA	1.04K	-0.09%	857.18B	287.37K
SBI Cards	SBIC	891.6	0.72%	843.51B	45.39K
IDBI Bank	IDBI	54.88	-2.02%	590.84B	794.30K
Punjab National Bank	PNBK	49.26	1.61%	542.29B	3.64M
Canara Bank	CNBK	297.9	0.95%	540.51B	247.50K
AU Small Finance Bank	AUFI	747.05	-0.01%	502.65B	27.14K
Shriram Finance	SHMF	1.34K	-0.57%	501.19B	15.35K
Union Bank of India	UNBK	69.37	-1.15%	473.99B	646.66K
Indian Overseas Bank	IOBK	24.32	-1.18%	459.33B	1.41M
Yes Bank	YESB	15.65	-0.38%	450.02B	11.51M
IDFC First Bank	IDFB	66.82	0.24%	442.29B	1.10M
Indian Railway Finance	INID	33.5	-1.15%	437.79B	3.80M
Power Finance	PWFC	165.5	0.42%	437.33B	426.99K
Muthoot Finance	MUTT	1.03K	-1.59%	415.46B	11.10K
Bandhan Bank	BANH	237.95	-2.48%	383.30B	401.28K
Indian Bank	INBA	286.7	-0.07%	356.45B	46.56K
Mahindra & Mahindra Financial	MMFS	281.6	-1.19%	347.63B	44.11K
REC	RECM	129.6	0.08%	341.79B	640.05K
UCO Bank	UCBK	26.6	-1.00%	317.43B	1.17M
Bank of India	BOI	75.7	-0.79%	310.73B	357.74K
Sundaram Finance	SNFN	2.47K	1.39%	273.49B	1.11K
Federal Bank	FED	126.2	-0.39%	266.92B	204.64K
Poonawalla Fincorp	POON	334.45	-0.54%	256.95B	131.91K
L&T Finance Hld	LTFH	99.82	0.39%	243.00B	345.32K
CBI	CBI	26.63	-1.26%	231.35B	436.45K
Punjab & Sind Bank	PUNA	31.07	-4.16%	210.59B	155.83K
Bank of Maharashtra	BMBK	31.17	0.10%	209.65B	908.88K
LIC Housing Finance Ltd	LICH	372.5	1.92%	205.06B	103.12K
CreditAccess Grameen	CRDE	1.22K	3.31%	193.89B	29.44K
Piramal Enterprises	PIRA	742.5	-0.62%	176.95B	19.61K
IIFL Finance B	IIFL	455	-1.22%	172.86B	25.29K
Cholamandalam Financial	CHOL	834	0.40%	156.63B	2.79K
Five-Star Business Finance	FIVS	525.85	-0.11%	154.29B	3.79K
Capri Global Capital	CAPG	674	-0.38%	139.15B	89.94K
Aptus Value Housing Finance India	APTS	263.85	-0.25%	131.34B	6.79K
PNB Housing Finance	PNBH	467.85	-2.60%	120.87B	26.04K
Housing Urban Develop	HUDC	56.84	-2.10%	113.81B	1.00M
Aavas Financiers	AVAS	1.40K	0.04%	110.09B	3.94K
City Union Bank	CTBK	140.45	1.01%	103.99B	440.39K
Manappuram Finance	MNFL	110.35	-0.81%	93.40B	862.97K
Equitas Small Finance	EQUI	81.5	-1.55%	90.26B	218.44K
